iter	Passed	Remaining
396	172749	349415
397	173028	348665
398	173278	347859
399	173538	347076
400	173778	346257
401	174017	345438
402	174290	344689
403	174545	343905
404	174805	343135
405	175049	342337
406	175294	341544
407	175569	340810
408	175830	340053
409	176131	339374
410	176415	338667
411	176667	337898
412	176937	337165
413	177172	336371
414	177401	335566
415	177637	334779
416	177875	333996
417	178107	333206
418	178362	332461
419	178597	331681
420	178837	330913
421	179082	330156
422	179324	329397
423	179587	328679
424	179817	327902
425	180080	327188
426	180339	326469
427	180596	325748
428	180843	325011
429	181080	324261
430	181316	323509
431	181557	322768
432	181800	322035
433	182042	321301
434	182312	320618
435	182552	319885
436	182811	319188
437	183058	318471
438	183345	317827
439	183583	317097
440	183841	316408
441	184066	315661
442	184330	314984
443	184579	314283
444	184827	313582
445	185091	312912
446	185326	312194
447	185590	311526
448	185843	310842
449	186110	310184
450	186345	309474
451	186592	308786
452	186846	308110
453	187082	307408
454	187330	306728
455	187571	306037
456	187813	305351
457	188065	304681
458	188321	304023
459	188591	303386
460	188835	302710
461	189086	302046
462	189362	301426
463	189619	300775
464	189854	300092
465	190086	299406
466	190341	298759
467	190582	298090
468	190833	297439
469	191086	296794
470	191318	296116
471	191557	295453
472	191823	294832
473	192078	294196
474	192328	293553
475	192591	292932
476	192862	292325
477	193103	291674
478	193336	291014
479	193591	290387
480	193825	289730
481	194096	289131
482	194369	288536
483	194615	287902
484	194863	287272
485	195125	286666
486	195397	286074
487	195653	285461
488	195910	284850
489	196172	284249
490	196416	283624
491	196675	283020
492	196918	282395
493	197185	281806
494	197436	281197
495	197690	280593
496	197923	279959
497	198153	279324
498	198400	278714
499	198650	278110
500	198914	277527
501	199158	276917
502	199400	276307
503	199660	275721
504	199910	275124
505	200164	274533
506	200431	273962
507	200675	273361
508	200919	272761
509	201172	272174
510	201422	271585
511	201680	271007
512	201936	270429
513	202208	269873
514	202449	269277
515	202700	268696
516	202941	268103
517	203231	267574
518	203478	266992
519	203755	266449
520	204015	265885
521	204290	265343
522	204552	264783
523	204804	264213
524	205035	263617
525	205281	263041
526	205515	262451
527	205776	261897
528	206031	261336
529	206275	260763
530	206507	260175
531	206738	259589
532	206994	259034
533	207236	258463
534	207479	257894
535	207736	257345
536	207995	256799
537	208261	256262
538	208500	255693
539	208738	255125
540	208992	254576
541	209264	254051
542	209516	253503
543	209775	252964
544	210013	252401
545	210248	251836
546	210490	251280
547	210734	250727
548	210979	250177
549	211245	249654
550	211499	249115
551	211742	248567
552	211980	248013
553	212231	247476
554	212524	246987
555	212777	246455
556	213049	245943
557	213291	245400
558	213556	244882
559	213835	244383
560	214072	243836
561	214316	243298
562	214575	242778
563	214844	242271
564	215081	241728
565	215328	241198
566	215561	240652
567	215794	240109
568	216068	239611
569	216336	239108
570	216604	238606
571	216866	238098
572	217112	237573
573	217359	237051
574	217611	236534
575	217905	236064
576	218163	235555
577	218400	235025
578	218641	234501
579	218894	233990
580	219134	233466
581	219404	232976
582	219654	232464
583	219889	231938
584	220131	231420
585	220377	230907
586	220615	230386
587	220844	229858
588	221081	229339
589	221323	228826
590	221599	228348
591	221850	227846
592	222096	227340
593	222326	226817
594	222577	226318
595	222824	225815
596	223081	225323
597	223330	224824
598	223572	224319
599	223831	223831
600	224083	223337
601	224333	222842
602	224608	222373
603	224908	221929
604	225147	221426
605	225386	220923
606	225616	220413
607	225855	219911
608	226142	219458
609	226402	218979
610	226677	218515
611	226933	218034
612	227205	217569
613	227484	217110
614	227756	216645
615	227991	216148
616	228248	215670
617	228500	215189
618	228746	214704
619	228983	214210
620	229248	213744
621	229487	213253
622	229737	212774
623	229976	212286
624	230231	211812
625	230485	211339
626	230777	210901
627	231019	210419
628	231279	209953
629	231533	209482
630	231806	209030
631	232075	208573
632	232345	208120
633	232619	207669
634	232887	207214
635	233114	206724
636	233353	206245
637	233595	205769
638	233844	205300
639	234092	204831
640	234350	204371
641	234590	203896
642	234845	203435
643	235104	202978
644	235366	202524
645	235624	202068
646	235894	201622
647	236133	201150
648	236365	200673
649	236598	200199
650	236849	199739
651	237095	199276
652	237340	198813
653	237589	198354
654	237853	197908
655	238125	197470
656	238366	197006
657	238600	196537
658	238827	196062
659	239071	195604
660	239321	195149
661	239611	194729
662	239904	194311
663	240172	193874
664	240430	193429
665	240669	192969
666	240927	192525
667	241168	192068
668	241410	191612
669	241648	191155
670	241936	190737
671	242195	190296
672	242439	189844
673	242715	189418
674	242961	188969
675	243204	188519
676	243471	188088
677	243706	187632
678	243944	187179
679	244201	186742
680	244443	186294
681	244704	185860
682	244961	185424
683	245212	184985
684	245480	184558
685	245737	184123
686	245979	183679
687	246229	183240
688	246486	182807
689	246725	182362
690	247003	181946
691	247233	181495
692	247467	181047
693	247714	180610
694	247979	180186
695	248275	179785
696	248538	179361
697	248813	178945
698	249082	178527
699	249343	178102
700	249607	177680
701	249871	177259
702	250135	176838
703	250388	176409
704	250631	175975
705	250903	175561
706	251132	175118
707	251392	174696
708	251637	174265
709	251887	173837
710	252136	173410
711	252382	172981
712	252647	172565
713	252885	172131
714	253125	171700
715	253393	171288
716	253662	170877
717	253900	170446
718	254167	170034
719	254408	169605
720	254652	169179
721	254889	168749
722	255137	168327
723	255402	167916
724	255643	167490
725	255887	167066
726	256164	166665
727	256389	166230
728	256635	165809
729	256867	165380
730	257112	164960
731	257353	164537
732	257623	164133
733	257891	163729
734	258171	163333
735	258449	162935
736	258691	162516
737	258964	162116
738	259209	161699
739	259473	161294
740	259747	160896
741	259996	160482
742	260236	160064
743	260463	159638
744	260717	159229
745	260954	158811
746	261211	158405
747	261465	157997
748	261707	157583
749	261977	157186
750	262244	156787
751	262527	156399
752	262799	156004
753	263048	155596
754	263322	155203
755	263558	154788
756	263820	154389
757	264056	153974
758	264288	153558
759	264532	153150
760	264767	152737
761	265011	152329
762	265256	151922
763	265502	151517
764	265742	151108
765	265997	150708
766	266262	150315
767	266526	149920
768	266756	149508
769	267017	149113
770	267277	148718
771	267547	148329
772	267822	147943
773	268064	147539
774	268339	147153
775	268589	146755
776	268832	146353
777	269070	145948
778	269331	145556
779	269584	145160
780	269831	144762
781	270131	144392
782	270437	144025
783	270691	143632
784	270955	143243
785	271211	142851
786	271444	142447
787	271716	142064
788	271973	141674
789	272224	141281
790	272516	140909
791	272765	140515
792	273022	140126
793	273277	139736
794	273518	139339
795	273757	138942
796	274034	138564
797	274273	138167
798	274561	137796
799	274792	137396
800	275039	137004
801	275307	136624
802	275605	136258
803	275851	135867
804	276150	135502
805	276429	135128
806	276706	134752
807	276971	134372
808	277232	133990
809	277497	133610
810	277762	133230
811	278004	132839
812	278253	132452
813	278513	132071
814	278773	131690
815	279003	131295
816	279286	130926
817	279577	130560
818	279823	130174
819	280079	129792
820	280366	129426
821	280649	129057
822	280932	128689
823	281184	128307
824	281428	127921
825	281695	127547
826	281946	127165
827	282207	126789
828	282475	126415
829	282776	126057
830	283021	125673
831	283281	125297
832	283553	124926
833	283821	124554
834	284071	124174
835	284361	123812
836	284593	123425
837	284833	123042
838	285087	122665
839	285338	122287
840	285592	121911
841	285859	121541
842	286113	121165
843	286378	120794
844	286631	120419
845	286868	120037
846	287130	119665
847	287381	119290
848	287624	118911
849	287865	118532
850	288104	118153
851	288351	117777
852	288584	117396
853	288838	117023
854	289094	116652
855	289346	116279
856	289593	115904
857	289828	115525
858	290077	115152
859	290349	114789
860	290623	114426
861	290871	114054
862	291142	113690
863	291390	113318
864	291647	112950
865	291884	112574
866	292132	112203
867	292380	111832
868	292632	111462
869	292904	111101
870	293146	110729
871	293405	110363
872	293674	110001
873	293948	109642
874	294208	109277
875	294459	108909
876	294777	108566
877	295072	108215
878	295371	107866
879	295664	107514
880	295953	107161
881	296222	106801
882	296477	106436
883	296749	106077
884	297007	105714
885	297297	105362
886	297569	105004
887	297821	104640
888	298083	104278
889	298335	103914
890	298614	103560
891	298893	103205
892	299154	102844
893	299405	102480
894	299686	102127
895	299969	101775
896	300225	101414
897	300483	101053
898	300740	100692
899	300997	100332
900	301249	99970
901	301494	99606
902	301756	99248
903	302008	98887
904	302273	98531
905	302544	98176
906	302795	97815
907	303057	97459
908	303319	97102
909	303552	96736
910	303835	96386
911	304091	96029
912	304333	95666
913	304612	95316
914	304866	94958
915	305149	94609
916	305438	94262
917	305712	93911
918	305983	93559
919	306230	93200
920	306480	92842
921	306726	92483
922	306999	92133
923	307262	91779
924	307561	91437
925	307827	91085
926	308091	90732
927	308348	90378
928	308600	90022
929	308872	89672
930	309137	89321
931	309396	88968
932	309651	88614
933	309911	88261
934	310153	87904
935	310393	87546
936	310638	87190
937	310896	86838
938	311158	86488
